eez_territory1,eez_pol_type,n_obs,n_spp,idx_obis_wdpa
Alaska,200NM,NA,NA,NA
Albania,200NM,2215,331,NA
Algeria,200NM,5461,561,NA
American Samoa,200NM,158617,1282,0.49688895703403835
Amsterdam and Saint Paul Islands,200NM,2773,523,NA
Andaman and Nicobar,200NM,39672,8221,0.5112206310830079
Angola,200NM,74203,2251,NA
Anguilla,200NM,2423,346,0.45603196874656104
Antarctica,200NM,566646,8707,0.464773181589373
Antigua and Barbuda,200NM,927,286,NA
Argentina,200NM,202686,3919,0.45079926548300076
Aruba,200NM,1729,411,NA
Ascension,200NM,9860,324,NA
Australia,200NM,1152927,19909,0.48947862898885985
Azerbaijan,200NM,7,5,NA
Azores,200NM,397675,3319,0.4637887968929645
Bahamas,200NM,58230,3630,0.45408707350769184
Bahrain,200NM,1000,447,NA
Bajo Nuevo Bank,200NM,NA,NA,NA
Bangladesh,200NM,8420,320,0.504102564102564
Barbados,200NM,5448,805,0.5000644856660759
Bassas da India,200NM,2069,179,NA
Belgium,200NM,239149,3523,0.502901105399504
Belize,200NM,15716,1456,0.5087371025628432
Benin,200NM,3360,471,NA
Bermuda,200NM,48009,2319,NA
Bonaire,200NM,1255,223,0.49163603376291015
Bosnia and Herzegovina,200NM,NA,NA,NA
Bouvet,200NM,4919,452,NA
Brazil,200NM,135583,9152,0.4480989480373021
British Virgin Islands,200NM,2558,520,0.4667769263356028
Brunei,200NM,287,55,NA
Bulgaria,200NM,17241,492,NaN
Cambodia,200NM,310,151,0.45121951219512196
Cameroon,200NM,12991,402,0.4990808254947625
Canada,200NM,NA,NA,NA
Canary Islands,200NM,18006,1134,0.47518304208270934
Cape Verde,200NM,24289,2130,NA
Cayman Islands,200NM,12141,565,0.4976067164040231
Chile,200NM,118298,4486,0.4746291149941765
China,200NM,81396,3741,0.45873479965446207
Christmas Island,200NM,6441,454,NA
Clipperton Island,200NM,1630,278,NA
Cocos Islands,200NM,4626,469,0.4369918699186992
Collectivity of Saint Martin,200NM,1692,688,NA
Colombia,200NM,53049,5887,0.5009252259134761
Comores,200NM,20009,1584,0.49901429783276036
Cook Islands,200NM,4125,1014,0.5032841501515771
Costa Rica,200NM,19714,2180,0.505673962656455
Croatia,200NM,11002,1266,0.4956800866303128
Crozet Islands,200NM,17675,402,0.5079351365720741
Cuba,200NM,56168,7559,0.49286547556592863
Curaçao,200NM,NA,NA,NA
Cyprus,200NM,5839,512,0.45219298245614037
Democratic Republic of the Congo,200NM,1980,367,NA
Denmark,200NM,1724899,3523,0.4946766655719303
Djibouti,200NM,10579,879,0.5919633642930857
Dominica,200NM,1609,335,0.5499206349206349
Dominican Republic,200NM,6846,800,0.45616594040803043
East Timor,200NM,292,173,0.4235294117647059
Easter Island,200NM,208,114,NA
Ecuador,200NM,4872,1166,0.49694565327088436
Egypt,200NM,17816,2475,0.49898312240993975
El Salvador,200NM,2737,474,0.5009320651337458
Equatorial Guinea,200NM,14610,877,0.4155406312961719
Eritrea,200NM,635,323,NA
Estonia,200NM,28178,383,0.47809105758335724
Europa Island,200NM,1995,259,0.5
Faeroe,200NM,134634,1338,0.49999060179818927
Federal Republic of Somalia,200NM,87608,2349,NA
Fiji,200NM,24307,3653,0.4960339457079907
Finland,200NM,46589,589,0.5313613749034726
France,200NM,1095342,7797,0.5014949305704985
French Guiana,200NM,19750,1096,0.5025440615510963
French Polynesia,200NM,22731,3821,NA
Gabon,200NM,38858,1153,0.5146516728276876
Galapagos,200NM,52505,1592,0.5197698549233346
Gambia,200NM,415,84,NA
Georgia,200NM,13439,385,0.4923236514522822
Germany,200NM,797731,3495,0.4924277358130348
Ghana,200NM,39882,1365,NA
Gilbert Islands,200NM,6060,594,NA
Greece,200NM,87044,4447,0.5431010232788089
Greenland,200NM,121241,3129,0.5390937065335919
Grenada,200NM,6503,374,0.4572422517394055
Guadeloupe,200NM,1474,409,0.5206795302013423
Guam,200NM,27859,2358,0.4955623421504172
Guatemala,200NM,23713,1004,0.49127130497381205
Guernsey,200NM,25264,1381,0.5113289936786738
Guinea,200NM,21967,586,NA
Guinea-Bissau,200NM,16411,883,0.6185238635192248
Guyana,200NM,2739,643,NA
Haiti,200NM,4885,361,NA
Hawaii,200NM,490489,5195,0.5004177642121207
Heard and McDonald Islands,200NM,67189,837,0.5084265218082086
Honduras,200NM,2684,801,0.6414265861280337
Howland and Baker islands,200NM,37463,654,0.5
Iceland,200NM,184820,2036,0.5
India,200NM,155783,9191,0.49320028073705413
Indonesia,200NM,94157,10033,0.4854459231285662
Iran,200NM,32262,625,NA
Iraq,200NM,NA,NA,NA
Ireland,200NM,905166,5521,0.48210801518733126
Islas San Félix and San Ambrosio,200NM,NA,NA,NA
Israel,200NM,18203,978,0.46162790697674416
Italy,200NM,152276,4303,0.5192690758729012
Ivory Coast,200NM,29415,649,NA
Jamaica,200NM,10147,914,0.5088678149439906
Jan Mayen,200NM,11926,460,0.507163138511709
Japan,200NM,609905,9666,0.4896775018453659
Jarvis Island,200NM,13702,554,0.5028469750889679
Jersey,200NM,3163,771,0.4874296435272045
Johnston Atoll,200NM,25300,694,NA
Jordan,200NM,21,16,NA
Juan de Nova Island,200NM,8608,478,NA
Kazakhstan,200NM,9,7,NA
Kenya,200NM,12851,2029,0.4792004070715138
Kerguélen,200NM,NA,NA,NA
Kuwait,200NM,641,125,NA
Latvia,200NM,69141,505,0.5650114951856381
Lebanon,200NM,32801,1235,NA
Liberia,200NM,29470,596,NA
Libya,200NM,3125,905,NA
Line Group,200NM,4307,1153,NA
Lithuania,200NM,32414,371,0.5361277969609564
Macquarie Island,200NM,192280,998,0.46656907268205605
Madagascar,200NM,75835,5772,0.48769438676141663
Madeira,200NM,5725,1042,0.4500605618650168
Malaysia,200NM,7995,1911,0.5175086224376458
Maldives,200NM,20584,2292,0.5070169094945592
Malta,200NM,1739,432,0.5449403699207312
Marshall Islands,200NM,15052,1769,0.4986553218521531
Martinique,200NM,5824,717,NA
Mauritania,200NM,8898,792,0.503800050889408
Mexico,200NM,203755,13925,0.5020691475202589
Micronesia,200NM,36603,1991,NA
